DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
10298	27450	25473	1977	4939	12288	0.9279781420765028
12246	37677	26727	10950	6088	12288	0.7093717652679353
11617	42033	25785	16248	5752	12288	0.6134465776889587
13115	42243	28183	14060	6691	12288	0.6671637904504888
13842	42617	28723	13894	7419	16384	0.6739798671891498
12937	42278	27741	14537	7061	16384	0.6561568664553669
16233	33630	31127	2503	7785	16384	0.9255724055902468
16229	44720	30885	13835	8181	16384	0.6906305903398927
15081	44431	29936	14495	7617	16384	0.6737638135535999
16769	35760	31656	4104	8549	16384	0.885234899328859
16565	45179	31175	14004	8785	16384	0.6900329799243011
15289	44724	30175	14549	8433	16384	0.6746936767730972
17193	36191	32088	4103	9165	16384	0.8866292724710564
17017	45619	31713	13906	9545	16384	0.6951708717858787
15881	45223	30759	14464	9089	16384	0.6801627490436283
17633	36641	32491	4150	9717	16384	0.8867388990475151
19181	46060	33821	12239	10225	16384	0.7342813721233175
17966	47301	32794	14507	9739	16384	0.6933045812984926
19818	38715	34631	4084	10547	16384	0.8945111713806019
19602	48163	34238	13925	10795	16384	0.7108776446649918
18426	47722	33238	14484	10315	16384	0.6964921838984116
20178	39152	34976	4176	10923	16384	0.893338782182264
20054	48509	34653	13856	11375	16384	0.7143622832876374
18890	48211	33704	14507	10963	20480	0.6990935678579577
20662	39569	35449	4120	11683	20480	0.8958780863807526
20554	48980	35147	13833	12155	20480	0.7175786035116374
19386	48650	34151	14499	11439	20480	0.7019732785200411
21082	40024	35866	4158	12487	20480	0.8961123326004398
20986	49462	35564	13898	12875	20480	0.7190166188184869
19718	49055	34521	14534	12367	20480	0.7037203139333401
21526	40441	36304	4137	13211	20480	0.8977028263396059
21462	49829	35954	13875	13359	20480	0.7215476931104376
20310	49536	35040	14496	12987	20480	0.7073643410852714
21998	40899	36724	4175	13811	20480	0.8979192645296951
21918	50289	36452	13837	14083	20480	0.7248503648909305
20746	50000	35421	14579	13719	20480	0.70842
22566	41288	37228	4060	14251	20480	0.901666343731835
22326	50754	36799	13955	14627	20480	0.7250463017693187
21082	50347	35761	14586	14183	20480	0.7102905833515403
22922	41747	37596	4151	14827	20480	0.9005677054638657
22742	51147	37230	13917	15307	20480	0.7279019297319491
21686	50819	36342	14477	14655	20480	0.7151262323146854
23514	42227	38148	4079	15607	20480	0.9034030359722452
23370	51619	37776	13843	16023	24576	0.7318235533427614
22150	51310	36794	14516	15471	24576	0.7170921847593061
23822	42603	38440	4163	16227	24576	0.9022838767222966
23734	52026	38155	13871	16435	24576	0.7333833083458271
22586	51684	37165	14519	16003	24576	0.7190813404535252
23806	42997	38881	4116	16739	24576	0.9042723910970533
24222	52470	38606	13864	17043	24576	0.7357728225652754
23582	52684	38176	14508	16579	24576	0.724622276212892
24162	43522	38772	4750	17263	24576	0.8908597950461835
24006	52893	38299	14594	17531	24576	0.7240844724254627
23814	52980	38388	14592	17703	24576	0.7245753114382786
24466	43942	39064	4878	17719	24576	0.8889900323153247
24386	53333	38785	14548	17955	24576	0.7272232951455947
24394	53508	38981	14527	18527	24576	0.728507886671152
25566	44938	40133	4805	18547	24576	0.8930749031999644
24962	53845	39342	14503	18747	24576	0.7306527997028508
24922	53978	39474	14504	19107	24576	0.7312979361962281
25966	45402	40514	4888	19091	24576	0.8923395445134575
25322	53647	39718	13929	19271	24576	0.7403582679366973
