DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
8212	27450	23506	3944	4155	12288	0.85632058287796
11350	36782	26278	10504	5474	12288	0.7144255342286988
13682	40753	28593	12160	6382	16384	0.7016170588668319
15697	42067	30596	11471	6836	16384	0.7273159483680794
14377	44307	28222	16085	7076	16384	0.636964813686325
15973	44460	32436	12024	7796	16384	0.7295546558704453
17529	45717	32371	13346	7812	16384	0.7080735831310015
17121	45795	31639	14156	7696	16384	0.690883284201332
17601	46509	32580	13929	8370	16384	0.7005095787912017
17877	46111	32774	13337	8370	16384	0.7107631584654421
17441	46088	32193	13895	8346	16384	0.6985115431348724
17933	46963	32804	14159	8874	16384	0.6985073355620381
18285	46554	33193	13361	9146	16384	0.7129999570391373
17884	46595	32608	13987	9007	16384	0.6998175769932397
18356	47163	33264	13899	9643	16384	0.7052986451243559
18775	47010	33700	13310	10033	16384	0.7168687513295043
18239	46984	33033	13951	9785	16384	0.7030691299165673
18803	47725	33712	14013	10365	16384	0.7063803038239916
19207	47427	34102	13325	10437	16384	0.7190418959664326
18571	47367	33438	13929	10397	16384	0.7059345113686744
19319	48091	34209	13882	10757	16384	0.7113389199642345
19895	47905	34750	13155	11101	16384	0.7253940089760985
19291	47918	34055	13863	11037	16384	0.7106932676655954
19787	48657	34626	14031	11409	20480	0.7116345027436957
20184	48295	35029	13266	11611	20480	0.7253131794181592
19676	48309	34443	13866	11583	20480	0.7129727379991306
20240	49031	35067	13964	12147	20480	0.7152005873834921
20636	48749	35462	13287	12411	20480	0.7274405628833412
20120	48765	34854	13911	12291	20480	0.7147339280221471
20688	49428	35482	13946	12811	20480	0.7178522295055434
21052	49203	35852	13351	13075	20480	0.7286547568237709
20580	49196	35313	13883	12843	20480	0.7178022603463696
21220	50041	35978	14063	13451	20480	0.7189704442357268
21632	49676	36390	13286	13663	20480	0.7325469039375151
21144	49674	35801	13873	13587	20480	0.7207190884567379
21636	50346	36358	13988	14027	20480	0.722162634568784
21984	50068	36749	13319	14347	20480	0.7339817847727091
21536	50073	36217	13856	14223	20480	0.7232840053521858
22204	50840	36920	13920	14607	20480	0.7261998426435877
22468	50528	37168	13360	14847	20480	0.7355921469284357
21848	50447	36514	13933	14691	20480	0.7238091462326799
22616	51154	37317	13837	15107	20480	0.7295030691637018
22972	51013	37690	13323	15423	20480	0.7388312783016094
22336	50934	36987	13947	15227	20480	0.7261750500647898
23028	51573	37713	13860	15723	24576	0.7312547263102787
23508	51268	38189	13079	16039	24576	0.7448895997503316
22872	51372	37487	13885	15943	24576	0.729716577123725
23452	52080	38124	13956	16451	24576	0.7320276497695852
23984	51653	38657	12996	16575	24576	0.7483979633322363
23464	51881	38016	13865	16583	24576	0.7327538019698926
24044	52539	38648	13891	17127	24576	0.735605930832334
24364	52111	39036	13075	17251	24576	0.7490932816487882
23708	52238	38293	13945	17095	24576	0.7330487384662506
24316	52895	38965	13930	17643	24576	0.7366480763777294
24912	52539	39536	13003	17979	24576	0.7525076609756561
24352	52744	38854	13890	17839	24576	0.7366525102381314
24884	53389	39502	13887	18447	24576	0.7398902395624567
25288	52997	39922	13075	18607	24576	0.7532879219578467
24628	53109	39151	13958	18467	24576	0.7371820218795307
25228	53762	39820	13942	18951	24576	0.7406718500055801
25752	53391	40359	13032	19179	24576	0.7559139180760802
25044	53491	39581	13910	19107	24576	0.7399562543231571
25736	54221	40328	13893	19519	24576	0.7437708636875011
25064	53853	39857	13996	19399	24576	0.7401073292110003
25724	54055	40231	13824	19695	28672	0.7442604754416797
26232	54774	40802	13972	20363	28672	0.744915470843831
25136	54247	39673	14574	19859	28672	0.7313399819344849
26068	54460	40569	13891	20399	28672	0.7449320602276901
26724	55145	41285	13860	20983	28672	0.7486626167376915
25736	54749	40239	14510	20459	28672	0.7349723282617034
27440	54516	41993	12523	21243	28672	0.7702876219825372
27272	55589	41685	13904	21563	28672	0.7498785730989944
26216	55193	40647	14546	21131	28672	0.7364520863152936
27908	46600	42413	4187	21775	28672	0.9101502145922746
27676	55962	41995	13967	22263	28672	0.7504199278081556
26608	55539	41062	14477	21719	28672	0.7393363222240228
28512	47055	42983	4072	22371	28672	0.9134629688662204
28268	56478	42564	13914	22791	28672	0.7536385849357272
27176	56095	41643	14452	22243	28672	0.7423656297352705
28908	47529	43378	4151	23051	28672	0.912663847335311
28768	56901	43033	13868	23379	28672	0.7562784485334176
27544	56544	42003	14541	22931	28672	0.7428374363327674
29320	47922	43776	4146	23675	28672	0.9134844121697759
29192	57332	43452	13880	23887	28672	0.7579013465429428
28008	56971	42448	14523	23435	32768	0.7450808305980235
29848	48314	44242	4072	24127	32768	0.915718011342468
29656	57799	43840	13959	24599	32768	0.7584906313258015
28344	57344	42768	14576	24047	32768	0.7458147321428571
30144	48721	44568	4153	24795	32768	0.9147595492703352
29992	58135	44253	13882	25119	32768	0.7612109744560076
28916	57817	43320	14497	24643	32768	0.7492605980939862
30652	49242	45058	4184	25471	32768	0.9150318833516105
30480	58600	44651	13949	25839	32768	0.7619624573378839
29304	58225	43734	14491	25311	32768	0.7511206526406183
31192	49683	45584	4099	25935	32768	0.9174969305396212
31052	59115	45193	13922	26431	32768	0.7644929374947137
29760	58685	44167	14518	25747	32768	0.7526113998466388
31408	50128	46091	4037	26651	32768	0.9194661666134695
31464	59556	45630	13926	26803	32768	0.7661696554503324
30252	59153	44617	14536	26503	32768	0.7542643652900106
31388	50540	45775	4765	27167	32768	0.9057182429758607
31312	59964	45425	14539	27495	32768	0.7575378560469616
31172	60057	45532	14525	27511	32768	0.7581464275604842
31816	50962	46179	4783	27735	32768	0.9061457556610808
31688	60412	45831	14581	27999	32768	0.7586406674170695
31604	60477	45931	14546	28303	32768	0.7594788101261637
32220	51412	46551	4861	28459	36864	0.9054500894732748
32128	60878	46297	14581	28519	36864	0.7604881894937415
32056	60945	46377	14568	28883	36864	0.7609648043317746
33200	52353	47518	4835	29159	36864	0.9076461711840773
32688	60761	46839	13922	29351	36864	0.770872763779398
32640	60940	46942	13998	29759	36864	0.7702986544141779
33680	60985	47965	13020	29899	36864	0.7865048782487497
33268	61201	47245	13956	30019	36864	0.7719645103838173
33136	61299	47395	13904	30251	36864	0.773177376466174
34088	61417	48350	13067	30447	36864	0.7872413175505153
33840	61643	47782	13861	30559	36864	0.7751407296854469
33644	61795	47904	13891	30779	36864	0.7752083501901448
34528	61910	48777	13133	31115	36864	0.7878694879664029
34200	62051	48137	13914	31107	36864	0.7757650964529178
34068	62152	48286	13866	31371	36864	0.7769017891620543
35120	62384	49321	13063	31575	36864	0.7906033598358554
34664	62516	48610	13906	31827	36864	0.7775609443982341
34560	62631	48775	13856	32087	40960	0.7787677028947326
35444	62829	49706	13123	32383	40960	0.7911314838689141
35108	62893	49001	13892	32607	40960	0.7791169128519867
34716	63070	49125	13945	32891	40960	0.7788964642460758
34568	63241	48856	14385	32291	40960	0.7725368036558562
34448	63430	48102	15328	32547	40960	0.7583477849597982
34108	63505	48390	15115	32835	40960	0.7619872450988111
34952	63665	49123	14542	32943	40960	0.7715856436032357
34552	63841	48441	15400	33199	40960	0.7587757084005576
34500	63925	48513	15412	33603	40960	0.7589049667579194
35352	64121	49518	14603	33711	40960	0.7722586983983406
36032	64522	50166	14356	33899	40960	0.7775022472954961
35060	64565	49148	15417	34067	40960	0.7612173778362891
35844	64593	50008	14585	34127	40960	0.7742015388664406
36456	64811	50621	14190	34583	40960	0.7810556849917453
37140	65549	51274	14275	34867	40960	0.7822239851103755
37720	66312	51801	14511	34779	40960	0.7811708288092652
37440	65164	51388	13776	35167	40960	0.788594929715794
37976	65935	52052	13883	35711	40960	0.7894441495412148
38192	65446	52284	13162	36015	45056	0.7988876325520277
37764	65516	51581	13935	35947	45056	0.787303864704805
