MemTotal	MemFree	Buffers	Cached	RealFree
1900556	896548	10920	386528	1293996.0
1900556	854544	12204	392232	1258980.0
1900556	841876	12528	394420	1248824.0
1900556	744792	13096	416504	1174392.0
1900556	719152	13212	420132	1152496.0
1900556	708452	13436	423800	1145688.0
1900556	730744	13536	425492	1169772.0
1900556	738504	13700	428344	1180548.0
1900556	632964	13928	451004	1097896.0
1900556	628680	14000	451088	1093768.0
1900556	628240	14028	451272	1093540.0
1900556	625132	14172	451360	1090664.0
1900556	636428	14204	451472	1102104.0
1900556	629848	14228	451548	1095624.0
1900556	614128	14276	454004	1082408.0
1900556	615820	14336	454148	1084304.0
1900556	630132	14408	454924	1099464.0
1900556	629032	14452	455364	1098848.0
1900556	619000	14500	455372	1088872.0
1900556	615984	14524	455376	1085884.0
1900556	619072	14548	455388	1089008.0
1900556	626304	14588	455420	1096312.0
1900556	631052	14612	455420	1101084.0
1900556	629904	14648	455424	1099976.0
1900556	629392	14680	455440	1099512.0
1900556	672552	14776	440852	1128180.0
1900556	670460	14952	442992	1128404.0
1900556	668564	14992	443016	1126572.0
1900556	652784	15136	459752	1127672.0
1900556	652908	15168	459880	1127956.0
1900556	616476	15264	476168	1107908.0
1900556	627256	15300	476252	1118808.0
1900556	616384	15336	476644	1108364.0
1900556	610360	15432	484976	1110768.0
1900556	611192	15452	484988	1111632.0
1900556	606848	15468	485092	1107408.0
1900556	610156	15564	485728	1111448.0
1900556	608268	15588	485808	1109664.0
1900556	608208	15628	487888	1111724.0
1900556	605100	15648	487984	1108732.0
1900556	601720	15656	487984	1105360.0
1900556	593192	15664	487992	1096848.0
1900556	601128	15664	488000	1104792.0
1900556	576952	15708	496428	1089088.0
1900556	573380	15732	496428	1085540.0
1900556	560104	15748	496524	1072376.0
1900556	541880	15792	504888	1062560.0
1900556	537932	15816	504940	1058688.0
1900556	506964	15816	504940	1027720.0
1900556	557772	15856	504728	1078356.0
1900556	552408	15872	504764	1073044.0
1900556	547436	15888	504772	1068096.0
1900556	557068	15960	513472	1086500.0
1900556	549304	15968	513472	1078744.0
1900556	544020	15976	513568	1073564.0
1900556	555752	15976	513568	1085296.0
1900556	550840	15992	517320	1084152.0
1900556	549564	16000	517320	1082884.0
1900556	536460	16052	520512	1073024.0
1900556	530520	16112	534072	1080704.0
1900556	521920	16128	534176	1072224.0
1900556	520760	16136	534176	1071072.0
1900556	514568	16160	534176	1064904.0
1900556	510476	16184	534272	1060932.0
1900556	516344	16200	534284	1066828.0
1900556	491564	16236	536992	1044792.0
1900556	511376	16268	542812	1070456.0
1900556	550904	16316	542932	1110152.0
1900556	549520	16332	543168	1109020.0
