DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
44293	67118	50812	16306	8837	20480	0.7570547394141661
53502	68943	63925	5018	14321	24576	0.9272152357744804
55609	74683	71411	3272	18055	28672	0.9561881552696062
78752	98599	91913	6686	47020	73728	0.9321899816428159
75656	104282	90814	13468	48944	73728	0.8708501946644674
75720	105927	89870	16057	51776	77824	0.8484144741189688
75748	106040	90668	15372	42610	77824	0.8550358355337608
76312	105858	91971	13887	34094	81920	0.8688148274103044
77052	106998	94325	12673	45162	81920	0.8815585338043702
76388	107221	91025	16196	45110	81920	0.8489475009559695
76464	107214	91202	16012	44858	81920	0.8506538325218721
76808	107216	92018	15198	44886	81920	0.8582487688404715
76500	107261	91279	15982	44806	81920	0.8509989651411044
76568	107271	91202	16069	45134	81920	0.8502018252836274
77550	107396	93097	14299	45129	86016	0.8668572386308615
77262	107421	92621	14800	45009	86016	0.8622243323000158
76586	107434	91272	16162	46773	86016	0.8495634529106242
76610	107425	91513	15912	47101	86016	0.8518780544565976
76598	107426	91379	16047	46685	86016	0.8506227542680543
76594	107431	91317	16114	46625	86016	0.8500060503951373
76632	107425	91493	15932	46030	86016	0.8516918780544566
76596	107422	91333	16089	46038	86016	0.850226210645864
76588	107414	91161	16253	45934	86016	0.8486882529279237
76632	107407	91387	16020	46018	86016	0.8508477101120039
76596	107407	91247	16160	45954	86016	0.8495442568920089
78080	107414	93847	13567	64714	90112	0.8736943042806338
77460	108127	92763	15364	65146	102400	0.8579078306066015
79300	108113	94905	13208	65038	102400	0.8778315281233524
79368	110228	95146	15082	62942	94208	0.8631745110135356
79284	110219	94444	15775	62470	94208	0.8568758562498299
80536	110220	97845	12375	74710	94208	0.8877245508982036
79836	110997	95096	15901	74786	94208	0.8567438759606115
80048	111006	95865	15141	75282	94208	0.8636019674612183
79924	111328	95451	15877	75266	94208	0.8573853837309572
80000	111330	95775	15555	75850	94208	0.8602802479116142
79884	111202	94912	16290	75810	94208	0.8535098289599108
79980	111207	94858	16349	75478	94208	0.8529858731914358
79928	111230	95087	16143	75478	94208	0.8548682909287063
79956	111235	95153	16082	76214	94208	0.8554232031285117
80112	111213	95259	15954	76510	98304	0.8565455477327291
79960	111213	95149	16064	77030	98304	0.8555564547310117
79932	111265	94913	16352	77534	98304	0.8530355457691098
79944	111276	95259	16017	78882	98304	0.8560606060606061
80008	111421	95149	16272	81806	102400	0.8539593074914065
79988	111437	95453	15984	81606	102400	0.8565646957473729
80044	111460	95374	16086	81906	102400	0.855679167414319
80056	111497	95197	16300	82030	102400	0.8538077257684064
80216	111581	95731	15850	82010	102400	0.8579507263781468
80244	111572	95248	16324	81970	102400	0.8536908901875022
80112	111572	95380	16192	81706	102400	0.8548739827196787
80120	111638	95418	16220	81002	102400	0.8547089700639567
80152	111613	95263	16350	80274	102400	0.8535116877066291
80108	111583	95273	16310	81414	102400	0.8538307806744755
80124	111583	95402	16181	81290	102400	0.8549868707598828
80208	111629	95276	16353	81598	102400	0.8535058094222827
80076	111554	95225	16329	81374	102400	0.8536224608709683
80040	111488	95140	16348	83826	106496	0.8533653846153846
80252	111497	95930	15567	84014	106496	0.8603818936832381
80268	111655	95310	16345	83950	106496	0.8536115713582016
80152	111615	95322	16293	83926	106496	0.8540249966402366
80124	111533	95280	16253	83806	106496	0.8542763128401459
80260	111708	95370	16338	82694	106496	0.853743688903212
80232	111726	95495	16231	82906	106496	0.8547249521149957
80880	112265	95994	16271	53690	106496	0.8550661381552577
80956	112372	96095	16277	53494	106496	0.8551507492969779
80944	112273	95920	16353	53922	106496	0.8543461028029892
81540	113304	96956	16348	53942	106496	0.8557155969780413
84846	113304	101300	12004	54224	106496	0.894054931864718
85036	116743	100504	16239	54126	106496	0.8608995828443675
84780	116486	100134	16352	53830	106496	0.8596226155932902
84852	116756	100633	16123	53918	106496	0.861908595703861
91304	117558	109157	8401	55138	106496	0.9285374028139302
88300	118492	103215	15277	55090	106496	0.8710714647402357
97556	117670	115793	1877	86763	118784	0.9840486105209484
94248	124383	108183	16200	57447	106496	0.8697571211499964
94468	124513	109089	15424	57395	106496	0.8761253844980043
92528	123242	107043	16199	57051	106496	0.8685594196783564
92520	123256	107047	16209	56591	106496	0.8684932173687285
96044	123273	113124	10149	87907	122880	0.9176705361271325
94868	126010	109838	16172	58967	122880	0.8716609792873582
94848	126012	110017	15995	58631	122880	0.8730676443513317
94912	126011	110481	15530	59247	122880	0.8767567910737951
