MemTotal	MemFree	Buffers	Cached	RealFree
1900556	1078416	11888	300148	1390452.0
1900556	1076620	12100	301240	1389960.0
1900556	1042308	12252	301244	1355804.0
1900556	1040464	12356	301256	1354076.0
1900556	1023600	12484	301368	1337452.0
1900556	1017156	12652	301644	1331452.0
1900556	1016876	12668	301636	1331180.0
1900556	1020732	12848	301748	1335328.0
1900556	1014460	13116	303188	1330764.0
1900556	999160	13276	303436	1315872.0
1900556	995392	13432	303540	1312364.0
1900556	987604	13528	303564	1304696.0
1900556	989904	13584	303932	1307420.0
1900556	993364	13608	303932	1310904.0
1900556	991496	13696	303988	1309180.0
1900556	987156	13888	304048	1305092.0
1900556	979668	14036	304112	1297816.0
1900556	1016068	14088	304380	1334536.0
1900556	1011768	14152	304384	1330304.0
1900556	1010960	14184	304388	1329532.0
1900556	988788	14364	304504	1307656.0
1900556	989976	14460	304500	1308936.0
1900556	982276	14652	304684	1301612.0
1900556	972312	14876	304896	1292084.0
1900556	974636	14900	304900	1294436.0
1900556	969908	15192	305032	1290132.0
1900556	965596	15248	305040	1285884.0
1900556	968876	15384	305104	1289364.0
1900556	962956	15692	305212	1283860.0
1900556	952204	15760	305300	1273264.0
1900556	937892	15876	305364	1259132.0
1900556	944436	16008	305448	1265892.0
1900556	941844	16188	305516	1263548.0
1900556	969544	16284	305548	1291376.0
1900556	968184	16368	305568	1290120.0
1900556	969788	16376	305576	1291740.0
1900556	966920	16488	305624	1289032.0
1900556	956272	16576	305624	1278472.0
1900556	962556	16608	305620	1284784.0
1900556	947004	16656	305648	1269308.0
1900556	922724	16856	307608	1247188.0
1900556	920524	16864	307624	1245012.0
1900556	920712	16880	307624	1245216.0
1900556	915700	16904	308312	1240916.0
1900556	908924	16932	309448	1235304.0
1900556	910812	16940	309448	1237200.0
1900556	910364	16956	308736	1236056.0
1900556	911200	16988	308728	1236916.0
1900556	910792	16988	308736	1236516.0
1900556	910244	16996	308736	1235976.0
1900556	909896	17004	308736	1235636.0
1900556	909048	17004	308736	1234788.0
1900556	909548	17100	308752	1235400.0
1900556	903312	17140	308752	1229204.0
1900556	942156	17196	308752	1268104.0
1900556	942616	17204	308752	1268572.0
1900556	938540	17292	308752	1264584.0
1900556	935492	17484	308728	1261704.0
1900556	940856	17492	308752	1267100.0
1900556	939700	17492	308752	1265944.0
1900556	938468	17524	308736	1264728.0
1900556	936856	17612	308752	1263220.0
1900556	939364	17684	308752	1265800.0
1900556	940668	17756	308736	1267160.0
1900556	875332	17808	320792	1213932.0
1900556	862364	18040	320992	1201396.0
1900556	862232	18072	321000	1201304.0
1900556	859508	18208	320996	1198712.0
1900556	861348	18272	320996	1200616.0
1900556	865080	18280	320996	1204356.0
1900556	863304	18280	320996	1202580.0
1900556	863004	18456	320920	1202380.0
1900556	864544	18600	321000	1204144.0
1900556	852944	18908	321020	1192872.0
1900556	855660	19012	321144	1195816.0
1900556	853396	19080	321272	1193748.0
1900556	851520	19160	321348	1192028.0
1900556	851424	19304	321440	1192168.0
1900556	846352	19368	321476	1187196.0
1900556	846296	19520	321476	1187292.0
1900556	846816	19636	321508	1187960.0
1900556	845860	19748	321512	1187120.0
1900556	835844	20116	321644	1177604.0
1900556	820392	20312	327112	1167816.0
1900556	830976	20352	321724	1173052.0
1900556	834944	20392	321728	1177064.0
1900556	880824	20720	312424	1213968.0
1900556	882272	20776	312444	1215492.0
1900556	883464	20800	312460	1216724.0
1900556	884648	20880	312460	1217988.0
1900556	883872	20936	312472	1217280.0
1900556	883420	20960	312468	1216848.0
1900556	879984	21040	312528	1213552.0
1900556	865116	21256	312588	1198960.0
1900556	897852	21328	312592	1231772.0
1900556	890088	21464	312616	1224168.0
1900556	862444	21604	312784	1196832.0
1900556	855796	21636	312792	1190224.0
1900556	857804	21700	312844	1192348.0
1900556	859348	21740	312860	1193948.0
1900556	852200	21988	312908	1187096.0
1900556	843464	22224	313288	1178976.0
1900556	838892	22248	313304	1174444.0
1900556	831680	22288	313320	1167288.0
1900556	828400	22416	313460	1164276.0
1900556	804580	22468	323096	1150144.0
1900556	810656	22484	323468	1156608.0
1900556	798944	22612	326480	1148036.0
1900556	795656	22636	327120	1145412.0
1900556	793648	22660	327124	1143432.0
1900556	790364	22676	327132	1140172.0
1900556	789940	22708	327160	1139808.0
1900556	787008	22716	327160	1136884.0
1900556	817728	22792	316416	1156936.0
1900556	807408	23044	316732	1147184.0
1900556	807936	23052	316728	1147716.0
1900556	815204	23052	316728	1154984.0
1900556	815500	23156	316728	1155384.0
1900556	856748	23164	316748	1196660.0
1900556	857928	23212	316744	1197884.0
1900556	842848	23252	316764	1182864.0
1900556	846296	23456	317324	1187076.0
1900556	860916	23480	317332	1201728.0
1900556	870320	23504	317352	1211176.0
1900556	845612	23564	326364	1195540.0
1900556	822664	23656	330996	1177316.0
1900556	815576	23724	331544	1170844.0
1900556	802088	23820	331548	1157456.0
1900556	797832	23852	332400	1154084.0
1900556	794956	23868	332424	1151248.0
1900556	792736	23908	332136	1148780.0
1900556	826148	23916	321348	1171412.0
1900556	807964	23964	321284	1153212.0
1900556	783008	24180	331216	1138404.0
1900556	764040	24244	331252	1119536.0
1900556	800528	24260	331248	1156036.0
1900556	735928	24344	334364	1094636.0
1900556	759740	24416	334376	1118532.0
1900556	751736	24504	334432	1110672.0
1900556	752132	24604	334544	1111280.0
1900556	750412	24748	342724	1117884.0
1900556	755824	24820	342852	1123496.0
1900556	769788	24828	342948	1137564.0
1900556	761520	24844	344216	1130580.0
1900556	762376	24844	344228	1131448.0
1900556	761376	24852	344272	1130500.0
1900556	756468	24892	344280	1125640.0
1900556	753736	24956	344308	1123000.0
1900556	747692	24972	344936	1117600.0
1900556	765128	25068	345148	1135344.0
1900556	776588	25092	345144	1146824.0
1900556	776280	25100	345144	1146524.0
1900556	779056	25100	345144	1149300.0
1900556	779052	25100	345144	1149296.0
1900556	779648	25132	345144	1149924.0
1900556	769872	25308	345412	1140592.0
1900556	759740	25432	345464	1130636.0
1900556	748048	25512	352564	1126124.0
1900556	742016	25656	352564	1120236.0
1900556	742288	25768	353356	1121412.0
1900556	751536	25812	353348	1130696.0
1900556	736660	25844	353368	1115872.0
1900556	751960	25868	353384	1131212.0
1900556	750608	25924	353384	1129916.0
1900556	752512	26124	353440	1132076.0
1900556	751780	26148	353468	1131396.0
1900556	743160	26156	353500	1122816.0
1900556	739672	26172	353500	1119344.0
1900556	723280	26236	357816	1107332.0
1900556	715892	26284	357844	1100020.0
1900556	718076	26332	357844	1102252.0
1900556	737168	26364	358252	1121784.0
1900556	721532	26396	358724	1106652.0
1900556	719752	26436	358772	1104960.0
1900556	711332	26460	358776	1096568.0
1900556	718748	26476	358756	1103980.0
1900556	719036	26524	358760	1104320.0
1900556	720736	26556	358764	1106056.0
1900556	716956	26604	358764	1102324.0
1900556	726704	26644	358772	1112120.0
1900556	728664	26668	360336	1115668.0
1900556	718216	26852	362624	1107692.0
1900556	706516	27504	366660	1100680.0
1900556	696092	27520	367800	1091412.0
1900556	701444	27564	367844	1096852.0
1900556	701744	27596	368008	1097348.0
1900556	698736	27612	368632	1094980.0
1900556	678600	27612	368644	1074856.0
1900556	657496	27652	368736	1053884.0
1900556	652672	27764	369368	1049804.0
1900556	640392	27788	369376	1037556.0
1900556	653536	27804	370016	1051356.0
1900556	651936	27812	370052	1049800.0
1900556	652136	27812	370052	1050000.0
1900556	650448	27812	370060	1048320.0
1900556	650472	27828	370104	1048404.0
1900556	644248	27836	370116	1042200.0
1900556	614596	27836	370124	1012556.0
1900556	589588	27844	370712	988144.0
1900556	557648	27860	371960	957468.0
1900556	524432	27872	373960	926264.0
1900556	632576	27880	370724	1031180.0
1900556	636264	27912	370728	1034904.0
1900556	634792	28096	372672	1035560.0
1900556	635936	28120	372744	1036800.0
1900556	634524	28160	372744	1035428.0
1900556	634848	28208	372744	1035800.0
1900556	634312	28240	372744	1035296.0
1900556	628816	28248	372744	1029808.0
1900556	630164	28500	372740	1031404.0
1900556	633816	28516	372740	1035072.0
1900556	635552	28564	372756	1036872.0
1900556	633004	28692	372760	1034456.0
1900556	632372	28732	372764	1033868.0
1900556	636544	28740	372760	1038044.0
1900556	634000	28740	372764	1035504.0
1900556	635556	28740	372764	1037060.0
1900556	636432	28780	373600	1038812.0
1900556	636924	28868	373592	1039384.0
1900556	635560	28900	373588	1038048.0
1900556	635164	28956	373580	1037700.0
1900556	621452	28996	373600	1024048.0
1900556	616536	29020	373600	1019156.0
1900556	622072	29084	373672	1024828.0
1900556	623876	29156	373640	1026672.0
1900556	623780	29268	373668	1026716.0
1900556	622484	29300	373668	1025452.0
1900556	619780	29324	373672	1022776.0
1900556	618320	29372	373672	1021364.0
1900556	620220	29396	373676	1023292.0
1900556	617296	29436	373692	1020424.0
1900556	618432	29644	373652	1021728.0
1900556	628380	29692	373676	1031748.0
1900556	626608	29756	373680	1030044.0
1900556	626924	29780	373680	1030384.0
1900556	627012	29780	373684	1030476.0
1900556	627356	29780	373692	1030828.0
1900556	627908	29796	373692	1031396.0
1900556	623868	29820	373700	1027388.0
1900556	624772	29860	373700	1028332.0
1900556	626340	29884	374688	1030912.0
1900556	630064	29916	374680	1034660.0
1900556	630632	29948	374688	1035268.0
1900556	622724	29988	374680	1027392.0
1900556	625144	30012	374696	1029852.0
1900556	624072	30044	374700	1028816.0
1900556	630184	30092	374700	1034976.0
1900556	629980	30124	374704	1034808.0
1900556	633916	30180	374692	1038788.0
1900556	633344	30236	374700	1038280.0
1900556	624984	30260	374720	1029964.0
1900556	634352	30268	374728	1039348.0
1900556	624300	30288	374828	1029416.0
1900556	633752	30312	374840	1038904.0
1900556	625508	30336	374860	1030704.0
1900556	620276	30384	374852	1025512.0
1900556	634636	30432	374980	1040048.0
1900556	652204	30520	375004	1057728.0
1900556	641616	30560	375012	1047188.0
1900556	634548	30600	375024	1040172.0
1900556	636620	30616	375028	1042264.0
1900556	636004	30648	375036	1041688.0
