Vss	Rss	Pss	Uss
1666360	106604	60910	56240
1709768	137956	90190	84804
1708792	134956	87179	81792
1724124	135500	87720	82336
1753544	140768	92886	87524
1747176	141108	93114	87808
1747836	143836	95787	90372
1743576	142428	94387	88972
1743644	149432	101380	95968
1743644	149544	101512	96100
1743812	151024	102965	97544
1745992	148720	100648	95224
1755408	151488	103470	98048
1755480	152548	104527	99100
1760168	156124	108056	102612
1767428	157776	109687	104236
1767344	167416	119321	113924
1778640	168472	120347	114948
1771688	164828	116717	111316
1771568	167120	119021	113624
1789964	181516	133305	127880
1803044	188860	140651	135224
1831572	210040	161735	156264
1834044	211280	162960	157472
1841708	215072	166747	161268
1854692	233324	184780	179240
1852432	233688	185122	179592
1853736	236876	188375	182844
1859496	242996	194500	188972
1858140	244980	196332	190956
1860496	242448	193785	188424
1858388	241828	193216	187804
1876908	249336	200651	195200
1876788	249296	200611	195160
1836500	252424	203594	198208
1835180	256108	207258	201868
1836280	251616	202766	197376
1835268	251396	202546	197156
1819428	254200	205350	199960
1827540	251536	202686	197296
1842376	249436	200586	195196
1957288	286340	235881	229080
1956256	285060	234601	227800
1959272	285856	235397	228596
1960212	285464	234980	228168
1961024	289216	238726	231892
1961108	289780	239284	232444
1951604	287304	236808	229968
1951604	287252	236756	229916
1955704	287876	237379	230540
1954648	286792	236295	229456
1954460	286992	236437	229580
1955676	286140	235585	228728
1954136	286732	236121	229208
1967856	287688	237068	230136
1967984	289036	238416	231484
1995176	328564	277943	270996
1994104	325288	274653	267708
1994780	324940	274305	267360
1993724	325556	274919	267972
1993724	325728	275091	268144
1991612	325940	275303	268356
1987388	325792	275155	268208
2025532	338212	287319	280116
2016956	339800	288907	281704
2033940	342904	291991	284784
2085224	368080	317824	311260
2085208	374996	324412	317520
2088108	378152	327544	320628
2091276	378272	327664	320748
2091856	380584	329976	323060
2091856	382128	331484	324532
2093392	383264	332620	325668
2093376	383972	333328	326376
2093376	384116	333472	326520
2093376	383896	333252	326300
2094432	384284	333640	326688
2090208	383940	333296	326344
2090208	383328	332836	326036
2090208	383652	333160	326360
2090208	383784	333292	326492
2088096	383768	333276	326476
2087040	383648	333156	326356
2102904	390920	340248	333276
2119016	401020	350360	343392
2070404	395912	345248	338280
2071004	398588	347924	340956
2098188	399780	349109	342136
2071156	399712	349041	342068
2091556	404956	354209	347212
2339428	413724	362766	355552
2342784	414172	363233	356020
2317736	416836	365890	358660
2316668	415440	364491	357264
2316508	414432	363506	356280
2315496	414396	363470	356244
2314440	417760	366834	359608
2318868	418500	367566	360332
2342400	414884	363950	356716
2350632	416028	365010	357768
2350652	416612	365587	358344
2352188	419260	368205	360940
2352856	418732	367670	360412
2355480	419240	368187	360928
2356788	420624	369570	362312
2355632	420852	369782	362516
2370356	422444	371387	364120
2459200	429864	378795	371528
2463348	436384	385315	378048
2432524	438772	387370	379772
2444736	446984	395590	387996
2464480	456168	404763	397168
2456344	457416	406022	398428
2460380	459480	408065	400460
2474944	462196	410600	402816
2477328	464252	412579	404736
2487320	470784	419197	411448
2487508	471404	419817	412068
2495996	474112	422540	414792
2497484	475408	423821	416056
2496840	474076	422565	414812
2495488	472612	421115	413364
2494432	472676	421179	413428
2495456	473008	421511	413760
2507532	475396	423729	415808
2523752	506244	454588	446660
2522696	515520	463864	455936
2522696	518540	466884	458956
2557152	561180	509709	501960
2558388	557452	505981	498232
2604928	589164	537018	528856
2604664	590340	538193	530032
2608596	595888	543730	535556
2608596	596004	543846	535672
2608148	600876	548823	540744
2608008	600760	548728	540652
2606952	600168	548136	540060
2606952	600268	548236	540160
2594396	601208	549692	541896
2594164	601772	550272	542492
2609192	603260	551755	543972
2595164	603552	552035	544240
2592028	603932	552427	544644
2592028	604176	552671	544888
2589916	603960	552455	544672
2593408	606312	554611	546632
2601336	613924	562184	554172
2601952	621988	570318	562428
2602312	619932	568164	560124
2610124	621724	569956	561916
2611172	623200	571432	563392
2610116	623016	571233	563200
2610116	623680	571897	563864
2610116	623548	571765	563732
2612164	624016	572233	564200
2614172	624424	572641	564608
2608872	624360	572577	564544
2607816	624140	572357	564324
2612232	624672	572889	564856
2613032	624236	572452	564420
2613032	624304	572520	564488
2613032	624220	572436	564404
2613056	624748	572964	564932
2611976	624556	572772	564740
2616220	624748	572964	564932
2615144	624772	572988	564956
2615144	624648	572864	564832
2616196	624996	573212	565180
2615144	625096	573312	565280
2615144	625100	573316	565284
2615144	625024	573240	565208
2614088	624936	573152	565120
2614088	625052	573268	565236
2615144	625440	573656	565624
2615144	625496	573712	565680
2616196	625556	574338	565744
2615144	625724	574506	565912
2614140	625548	574330	565736
2613032	625688	574470	565876
