DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
25120	42697	39755	2942	10527	20480	0.9310958615359393
18080	44108	32290	11818	11200	20480	0.7320667452616305
26620	47583	47583	0	14063	24576	1.0
32436	54975	47060	7915	18215	28672	0.8560254661209641
31200	57361	41867	15494	14855	32768	0.7298861595857813
32840	57396	45043	12353	15447	32768	0.7847759425743954
32147	58993	42704	16289	16560	32768	0.7238824945332497
32651	58957	42804	16153	16491	32768	0.7260206591244466
33903	59028	48565	10463	16441	32768	0.8227451379006573
38116	59171	46815	12356	17137	32768	0.7911814909330585
34527	61588	45423	16165	17142	32768	0.7375300383191531
34467	61488	45626	15862	17318	32768	0.7420309653916212
34499	61450	47359	14091	17326	32768	0.7706916192026038
54793	70256	70256	0	17375	32768	1.0
54793	70407	70407	0	17371	32768	1.0
57407	54577	54577	0	17643	32768	1.0
39591	63669	51524	12145	18028	32768	0.809247828613611
40555	63684	47332	16352	18749	32768	0.743232209032096
40579	63742	48201	15541	18308	32768	0.7561890119544413
39399	63684	49952	13732	18186	32768	0.7843728409019534
38191	62208	46301	15907	18366	32768	0.7442933384773662
38543	62691	47279	15412	18090	32768	0.7541592892121676
47751	66190	50508	15682	20538	36864	0.7630759933524701
43299	65460	49608	15852	20242	36864	0.7578368469294225
50775	73404	58352	15052	25622	40960	0.7949430548743938
52267	75874	60222	15652	26286	40960	0.7937106255107151
52679	76311	60619	15692	28918	49152	0.7943677844609558
46327	69647	53475	16172	32322	53248	0.7678004795612159
46475	70617	54399	16218	31470	53248	0.770338587025787
47707	71286	55316	15970	32054	53248	0.7759728417922173
48327	72139	55844	16295	32090	53248	0.7741166359389512
49307	72039	56997	15042	30418	53248	0.7911964352642319
48827	72777	56764	16013	30418	53248	0.7799716943539855
48839	72777	56847	15930	30418	53248	0.7811121645574838
49111	72869	57037	15832	32506	53248	0.7827333982900821
47483	71252	55392	15860	33470	53248	0.7774097569191041
47179	71233	55290	15943	31034	53248	0.7761851950640855
50039	74147	57818	16329	30818	53248	0.7797753112061175
48571	72722	56777	15945	30702	53248	0.7807403536756414
50839	75667	59635	16032	31062	53248	0.7881242813908309
51063	75661	59352	16309	31550	53248	0.7844464122863827
51079	75611	59283	16328	31422	53248	0.7840525849413446
51087	75609	59308	16301	31430	53248	0.7844039730719888
50347	74242	57973	16269	31138	53248	0.7808652784138358
48931	72832	56826	16006	31070	53248	0.7802339630931459
48951	72881	57358	15523	31166	53248	0.7870089598111991
49011	72948	56838	16110	31134	53248	0.7791577562099029
49067	73049	56703	16346	31058	53248	0.7762323919560843
48967	72834	56509	16325	31318	53248	0.7758601751929044
48967	72835	56531	16304	31378	53248	0.776151575478822
48967	72851	56501	16350	31402	53248	0.7755693127067577
48859	72828	56476	16352	31342	53248	0.7754709727028066
48839	72828	56478	16350	31342	53248	0.7754984346679848
48859	72867	56575	16292	31582	53248	0.7764145635198375
48875	72914	56628	16286	31578	53248	0.7766409742984887
48915	72932	57118	15814	31438	53248	0.783167882411013
48859	72991	56701	16290	31434	53248	0.7768217999479388
48863	72959	56654	16305	31470	53248	0.776518318507655
48871	72971	56633	16338	31450	53248	0.7761028353729564
48935	73026	56829	16197	31378	53248	0.7782022841179854
48935	73027	56695	16332	31386	53248	0.7763566899913731
48891	73028	56737	16291	31506	53248	0.7769211809169085
46111	70191	53863	16328	31954	53248	0.7673775840207434
46175	70196	54144	16052	32386	53248	0.7713260014815659
46995	71278	55032	16246	34162	53248	0.7720755352282612
47639	71832	55480	16352	32806	53248	0.7723577235772358
47511	71869	55522	16347	32754	53248	0.7725444906705256
47859	71908	55715	16193	32166	53248	0.7748094787784391
47851	71908	55662	16246	32182	53248	0.7740724258775101
47915	72006	55747	16259	31902	53248	0.7741993722745327
47835	71952	55720	16232	32134	53248	0.7744051589948855
47863	71980	55919	16061	32402	53248	0.7768685746040567
47823	71952	55604	16348	32318	53248	0.7727929730931732
47823	71984	55659	16325	32350	53248	0.773213491887086
47807	72049	55699	16350	32434	53248	0.773071104387292
47823	72064	55713	16351	32562	53248	0.7731044626998224
47823	72064	55761	16303	32566	53248	0.7737705373001776
47815	72064	55934	16130	32618	53248	0.7761711811722913
47803	72057	55705	16352	32530	53248	0.7730685429590463
47819	72075	55743	16332	32334	53248	0.7734027055150885
47811	72077	55824	16253	32338	53248	0.77450504321767
47779	72044	55715	16329	32306	53248	0.7733468435955805
47819	72121	55797	16324	32658	53248	0.7736581578181112
47847	72117	55874	16243	31966	53248	0.7747687785126947
47851	72117	55903	16214	31834	53248	0.775170902838443
47903	72121	55768	16353	31710	53248	0.7732560557951221
47879	72153	56019	16134	32422	53248	0.7763918340193755
47891	72184	55908	16276	32714	53248	0.7745206694004212
47855	72138	55834	16304	32426	53248	0.7739887437966121
47855	72160	55812	16348	32330	53248	0.7734478935698448
47851	72180	55798	16382	32042	53248	0.7730396231643114
47855	72197	55845	16352	32086	53248	0.7735085945399394
47855	72207	55868	16339	32338	53248	0.7737199994460371
47863	72208	55861	16347	32470	53248	0.7736123421227565
47883	72230	55883	16347	32418	53248	0.7736812958604458
47851	72206	55931	16275	32334	53248	0.774603218569094
48287	72535	56529	16006	33561	53248	0.7793341145653823
47883	72236	56007	16229	32510	53248	0.7753336286616092
48331	72501	56169	16332	33861	53248	0.7747341415980469
48055	72557	56178	16379	33877	53248	0.7742602367793596
48059	72545	56361	16184	33985	53248	0.7769108829002688
48143	72542	56278	16264	34153	53248	0.7757988475641697
48039	72535	56219	16316	34293	53248	0.7750603157096574
48067	72546	56194	16352	34221	53248	0.7745981859785516
48035	72557	56231	16326	33737	53248	0.7749906969692794
48035	72566	56229	16337	33749	53248	0.7748670176115536
48047	72586	56234	16352	33437	53248	0.7747223982586173
48227	72692	56471	16221	33505	53248	0.7768530237165026
48083	72674	56362	16312	33769	53248	0.7755455871425819
48107	72671	56369	16302	34041	53248	0.7756739277015591
48119	72667	56315	16352	33969	53248	0.7749735092958289
48075	72682	56341	16341	34101	53248	0.7751712941305963
48095	72668	56358	16310	33441	53248	0.7755545769802389
48087	72679	56442	16237	33389	53248	0.776592963579576
48103	72797	56463	16334	33713	53248	0.7756226218113383
48083	72811	56584	16227	34077	53248	0.777135322959443
48115	72859	56529	16330	34217	53248	0.7758684582549856
48095	72865	56565	16300	34197	53248	0.7762986344609895
48095	72865	56534	16331	34209	53248	0.7758731901461607
48095	72838	56496	16342	34045	53248	0.7756390894862571
48091	72890	56555	16335	33637	53248	0.7758951845246261
48107	72933	56589	16344	33617	53248	0.7759039118094689
48131	72949	56607	16342	34113	53248	0.7759804795130845
48147	72925	56573	16352	33777	53248	0.7757696263284196
48091	72976	56717	16259	33849	53248	0.7772007235255426
48111	72983	56657	16326	34025	53248	0.7763040708110108
48119	72996	56649	16347	34029	53248	0.7760562222587539
48087	73007	56664	16343	34185	53248	0.7761447532428397
48099	73034	56709	16325	34309	53248	0.7764739710271928
48159	73049	57335	15714	34501	53248	0.7848841188791086
48123	73098	56791	16307	33725	53248	0.7769159210922324
48111	73112	56924	16188	33857	53248	0.7785862785862786
48239	73312	56959	16353	33945	53248	0.7769396551724138
48139	73125	56847	16278	33713	53248	0.7773948717948718
48287	73231	56881	16350	34057	53248	0.7767338968469637
48187	73226	56968	16258	34441	53248	0.7779750361893316
48187	73240	56888	16352	34449	53248	0.7767340251228837
48199	73199	56846	16353	34333	53248	0.7765953086790803
48195	73228	56895	16333	34285	53248	0.776956901731578
48191	73243	56980	16263	33981	53248	0.7779583031825567
48199	73257	56912	16345	33973	53248	0.7768813901743178
48203	73233	56898	16335	33737	53248	0.7769448199582155
48203	73232	56880	16352	33685	53248	0.7767096351321826
48223	73269	57019	16250	33588	53248	0.7782145245601824
48442	73255	56902	16353	33954	53248	0.7767660910518054
48486	73268	56944	16324	34250	53248	0.7772015067969645
48486	73326	56997	16329	33686	53248	0.7773095491367319
48482	73314	57020	16294	34282	53248	0.7777504978585263
48486	73314	56963	16351	34410	53248	0.7769730201598604
48486	73315	56996	16319	34410	53248	0.7774125349519198
48490	73315	57074	16241	34406	53248	0.778476437291141
48598	73469	57218	16251	34442	53248	0.7788046659135145
48494	73394	57163	16231	34518	53248	0.7788511322451427
48590	73487	57219	16268	34494	53248	0.778627512349123
48518	73351	57000	16351	34250	53248	0.7770855203064716
48546	73405	57092	16313	34338	53248	0.777767182072066
48554	73387	57080	16307	34522	53248	0.7777944322563942
48558	73416	57064	16352	34534	53248	0.7772692601067888
48566	73416	57106	16310	34578	53248	0.7778413424866514
48506	73411	57060	16351	34610	53248	0.7772677119232813
48610	73530	57177	16353	34390	53248	0.7776009791921664
48618	73521	57288	16233	34434	53248	0.7792059411596687
48586	73579	57280	16299	34546	53248	0.7784829910708219
48578	73595	57267	16328	34542	53248	0.7781371017052789
48582	73602	57329	16273	34562	53248	0.7789054645254205
48606	73602	57673	15929	34538	53248	0.7835792505638434
48662	73664	57457	16207	34590	53248	0.7799875108601216
48678	73687	57343	16344	34482	53248	0.7781969682576303
48614	73629	57277	16352	34266	53248	0.7779135938285187
48614	73682	57422	16260	34242	53248	0.779321951087104
48626	73759	57407	16352	34482	53248	0.7783050204042896
48630	73744	57414	16330	34594	53248	0.7785582555868952
48642	73744	57425	16319	34494	53248	0.7787074202646995
48674	73735	57386	16349	34238	53248	0.7782735471621347
48638	73704	57372	16332	34258	53248	0.7784109410615435
48642	73704	57382	16322	34178	53248	0.7785466189080646
48658	73720	57368	16352	34162	53248	0.7781877373846988
