DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
6740	27450	21885	5565	5402	16384	0.7972677595628416
8160	33492	23052	10440	7362	20480	0.6882837692583303
8948	33723	23811	9912	8090	20480	0.706075971888622
9368	34428	24232	10196	8930	20480	0.7038457069826886
9792	35132	24652	10480	9390	20480	0.7016964590686554
9328	35846	24058	11788	9342	20480	0.6711488032137477
10272	28794	25167	3627	9814	20480	0.874036257553657
10704	29358	25593	3765	10658	20480	0.8717555691804619
10468	37416	25379	12037	11446	20480	0.6782927090014967
10664	39559	25187	14372	11474	20480	0.6366945574963978
11532	39778	26275	13503	12770	24576	0.6605410025642315
12368	39345	27210	12135	13194	24576	0.6915745329775067
12760	40051	27606	12445	12806	24576	0.6892711792464608
13288	40755	28029	12726	13250	24576	0.6877438351122561
12812	41268	27438	13830	12958	24576	0.6648735097412038
13756	33160	28540	4620	13374	24576	0.8606755126658625
14188	33582	28958	4624	14210	24576	0.8623071883747245
13960	34011	28745	5266	15162	24576	0.8451677398488724
14080	43490	28789	14701	15330	24576	0.6619682685674868
14920	43845	29441	14404	15654	24576	0.6714790740107196
15856	43360	30551	12809	15986	24576	0.704589483394834
16252	43782	30974	12808	16498	28672	0.7074596866292083
16688	44205	31397	12808	16934	28672	0.7102590204727972
16316	44637	30802	13835	16622	28672	0.6900553352599861
17184	36531	31910	4621	17006	28672	0.873504694642906
17588	36949	32329	4620	17926	28672	0.8749627865436141
17396	37379	32117	5262	18734	28672	0.8592257684796276
17448	46860	32071	14789	18934	28672	0.684400341442595
18364	47221	32801	14420	19246	28672	0.6946273903559856
19276	46729	33916	12813	19566	28672	0.7258019645188213
19712	47150	34335	12815	20062	28672	0.7282078472958643
20128	47571	34762	12809	20390	28672	0.7307393159698136
19728	48002	34167	13835	20102	28672	0.7117828423815674
20628	39896	35307	4589	21618	32768	0.884975937437337
21052	40318	35698	4620	21438	32768	0.8854109826876333
20824	40739	35647	5092	23106	32768	0.8750092049387564
21012	50229	35607	14622	22078	32768	0.7088932688287642
21716	50578	36082	14496	22726	32768	0.7133931748981771
22712	50095	37284	12811	23170	32768	0.7442658947998803
23152	50518	37707	12811	23534	32768	0.7464072211884872
23588	50937	38153	12784	24890	36864	0.7490233032962287
23148	51368	37531	13837	23866	36864	0.7306299641800342
24020	51664	38613	13051	24358	36864	0.7473869619077114
24448	43683	39072	4611	24718	36864	0.8944440629077673
24888	44108	39494	4614	25678	36864	0.895393125963544
24408	52737	39001	13736	25798	36864	0.7395377059749322
25000	53942	39333	14609	26282	36864	0.7291720737087983
26128	53469	40660	12809	26722	36864	0.7604406291496008
26568	53890	41079	12811	27214	36864	0.7622750046390796
26924	54312	41501	12811	27506	36864	0.7641221092944469
26508	54741	40937	13804	28254	40960	0.7478306936300031
26752	55164	41333	13831	27746	40960	0.7492748894206367
27884	47056	42467	4589	29022	40960	0.9024778986739205
28320	47477	42861	4616	29074	40960	0.9027739747667292
27900	56104	42526	13578	29830	40960	0.7579851703978326
28392	57309	42703	14606	29758	40960	0.7451360170304838
29316	57101	43845	13256	30054	40960	0.7678499500884398
29956	57259	44451	12808	30650	40960	0.7763146404931975
30372	57681	44870	12811	31142	40960	0.7778991348971065
29896	58108	44271	13837	30786	40960	0.7618744406966339
30220	58528	44695	13833	31314	40960	0.763651585565883
31276	50424	45800	4624	31722	40960	0.9082976360463272
31700	50844	46225	4619	32742	45056	0.9091534891039257
31292	59468	45815	13653	34146	45056	0.7704143404856393
31824	60672	46063	14609	33358	45056	0.7592134757383966
32664	60517	47077	13440	33858	45056	0.777913644100005
33364	60622	47807	12815	34266	45056	0.7886080960707333
33792	61043	48229	12814	34786	45056	0.7900824009304916
33288	61474	47642	13832	34538	45056	0.7749943065360966
33552	61895	48062	13833	34886	45056	0.7765086032797479
34656	53791	49175	4616	35278	45056	0.9141863880574818
