DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
9074	27450	24473	2977	6035	20480	0.8915482695810565
8520	26539	23481	3058	7382	20480	0.8847733524247334
8320	33903	23866	10037	8794	20480	0.7039495029938354
7540	35128	21270	13858	8376	20480	0.6054998861307219
9620	36053	24489	11564	9412	20480	0.6792499930657643
10208	35834	25074	10760	9764	20480	0.6997265167159681
10656	36540	25499	11041	10332	20480	0.6978379857690202
11044	37243	25922	11321	10780	20480	0.6960234137958811
10600	37960	25326	12634	10464	20480	0.6671759747102213
11548	30484	26440	4044	10952	20480	0.867340244062459
11960	31044	26855	4189	11944	24576	0.8650624919469141
11760	31618	26644	4974	12688	24576	0.8426845467771522
11908	41388	26977	14411	13104	24576	0.651807287136368
12688	41748	27345	14403	13112	24576	0.6550014371945961
13268	41783	28029	13754	13600	24576	0.6708230620108656
14068	41679	28864	12815	14116	24576	0.692531010820797
14516	42100	29315	12785	15344	24576	0.6963182897862232
14840	42532	29717	12815	14440	24576	0.6986974513307627
14504	42951	29117	13834	14624	24576	0.6779120393005984
15404	34845	30227	4618	15190	24576	0.8674702252833979
15816	35267	30649	4618	15978	28672	0.8690560580712847
15596	35697	30437	5260	16802	28672	0.8526486819620697
15660	45183	30217	14966	16798	28672	0.6687692273642741
16584	45535	31130	14405	17194	28672	0.6836499396068958
17517	45049	32237	12812	17648	28672	0.7155985704455149
17941	45471	32663	12808	18092	28672	0.7183259660003078
18353	45894	33077	12817	18440	28672	0.7207260208306097
17945	46324	32490	13834	18168	28672	0.7013643036007253
18825	38219	33601	4618	18824	28672	0.8791700463120438
19249	38638	34014	4624	19548	28672	0.8803250685853306
19057	39070	33806	5264	20412	28672	0.86526746864602
19241	48553	33324	15229	20444	28672	0.6863427594587358
20025	48922	34571	14351	21036	32768	0.7066554924164997
20945	48416	35606	12810	21228	32768	0.7354180436219432
21317	48838	36027	12811	21724	32768	0.7376837708341865
21777	49258	36472	12786	23108	32768	0.7404279507897195
21385	49689	35858	13831	21936	32768	0.7216486546318098
22241	41583	36963	4620	22384	32768	0.8888969049852103
22645	42003	37384	4619	23128	32768	0.8900316644049234
22605	42424	37784	4640	23928	32768	0.8906279464454082
22413	51049	36792	14257	23540	32768	0.7207193088992928
23181	52255	37648	14607	24252	36864	0.7204669409625873
24321	51781	38977	12804	24848	36864	0.7527278345339024
24729	52205	39399	12806	25296	36864	0.7546978258787472
25145	52630	39818	12812	25732	36864	0.7565646969409082
24681	53061	39228	13833	25372	36864	0.7393000508848306
25045	53541	39726	13815	25900	36864	0.7419734409144394
26085	45378	40755	4623	26220	36864	0.8981224381859051
26345	45799	41170	4629	27828	36864	0.8989279241904845
25661	54420	40102	14318	27424	36864	0.7368981991914737
26629	55631	41063	14568	28016	36864	0.7381316172637559
27717	55155	42345	12810	28464	40960	0.7677454446559695
28137	55576	42762	12814	28824	40960	0.7694328487116741
28549	55997	43182	12815	29188	40960	0.7711484543814847
