	362
173	354
176	411
219	394
218	323
206	411
175	320
177	348
161	256
167	329
164	404
171	356
173	345
173	398
164	359
152	348
171	335
158	390
169	247
170	350
186	262
197	342
143	373
160	365
138	354
148	396
157	353
181	227
160	392
169	324
161	371
177	349
187	361
164	355
165	337
172	357
138	385
159	394
176	361
169	323
159	336
163	419
172	323
149	322
163	321
148	337
164	340
171	348
157	323
162	417
211	358
159	380
151	360
156	255
154	378
204	358
164	367
150	326
214	372
168	348
174	325
185	329
173	429
163	394
179	416
169	336
215	338
173	380
169	363
152	358
232	411
167	316
178	335
161	334
152	338
159	353
173	323
168	270
174	369
161	360
161	343
167	349
159	355
174	362
186	245
172	336
178	394
158	312
177	317
162	322
149	382
198	329
175	330
173	364
160	393
191	374
155	363
175	312
173	355
212	344
165	393
164	379
168	389
179	388
161	344
180	382
168	364
173	370
160	336
169	333
148	421
159	342
151	351
159	366
188	340
191	394
159	330
163	321
182	432
162	392
170	352
190	313
175	348
217	330
164	346
166	335
170	389
156	411
188	365
157	368
174	414
192	367
167	332
171	400
172	406
190	367
179	247
161	336
179	357
198	344
184	335
193	360
160	371
161	367
164	345
151	389
159	347
241	337
157	340
186	370
173	382
173	445
201	239
168	342
168	349
214	350
188	363
158	389
163	373
176	423
176	255
163	349
169	350
165	377
183	376
198	247
174	416
169	424
162	351
160	367
177	348
211	352
157	319
163	237
172	355
184	399
156	362
196	356
180	373
202	363
207	364
170	245
169	364
181	393
175	331
192	349
157	235
239	345
209	368
169	329
197	373
186	389
167	366
173	403
178	332
206	349
236	366
168	344
180	405
169	353
170	341
188	321
172	389
203	351
223	371
183	353
184	362
170	422
180	394
187	245
187	367
208	332
214	328
167	372
196	356
184	462
188	420
192	350
154	369
240	334
237	343
212	318
178	332
200	430
184	321
187	406
162	346
236	344
235	321
180	361
196	325
155	308
172	450
192	368
185	377
218	334
191	355
210	334
172	366
167	385
191	433
176	405
171	357
196	337
218	395
201	361
159	403
170	398
179	407
195	369
177	382
258	337
211	385
253	317
191	343
160	394
181	395
177	376
192	375
176	344
203	352
181	357
179	356
183	421
194	381
164	251
194	345
183	380
246	411
227	353
179	342
193	436
194	427
203	361
176	381
179	373
221	346
210	344
186	378
196	441
171	293
193	386
182	343
212	372
205	332
232	279
176	350
176	384
183	420
189	364
188	348
191	355
217	345
238	344
199	290
192	453
184	405
196	392
177	388
213	384
169	369
210	346
188	361
199	291
169	458
184	416
176	364
201	330
227	320
213	346
219	327
194	341
179	435
203	317
203	380
181	357
233	388
235	394
226	387
179	401
194	442
198	292
174	424
204	360
245	350
177	392
179	391
198	412
212	409
203	326
189	399
198	389
248	370
223	376
208	254
190	387
188	324
210	436
213	439
182	377
223	369
226	427
169	416
202	317
181	433
174	470
202	365
218	382
292	357
190	365
301	389
214	381
194	310
204	410
219	453
201	360
246	384
236	370
212	251
186	385
200	333
212	413
202	325
212	364
189	411
236	344
173	373
271	366
187	448
184	463
195	462
205	431
247	374
235	373
226	380
210	409
190	491
191	476
204	488
225	356
219	381
176	372
185	420
198	418
188	467
199	406
205	385
222	361
264	392
182	364
246	388
201	456
202	474
200	487
199	377
257	345
251	350
251	387
213	386
196	339
216	486
201	481
236	382
186	366
223	372
206	423
216	445
216	429
205	459
222	385
181	393
191	360
187	385
245	386
198	448
203	412
227	489
	418
